,,,,,,한국 상위(%),,,,,,,,,,,,,,,전년 대비(%),,,,,,,,,,,,,,""
회사명,업계,응답(명),BIE(점),한국 상위(%),동의어,직무만족도,조직몰입도,이직의도,스트레스,업무자율성,업무의미감,업무중요도,상사관계,동료관계,직장내유대,워라밸,표현의자유,복지,윤리,심리적안전감,직무만족도,조직몰입도,이직의도,스트레스,업무자율성,업무의미감,업무중요도,상사관계,동료관계,직장내유대,워라밸,표현의자유,복지,윤리,"심리적안전감"
유한양행,제약-바이오 ,34,49,35%,유한양행,42%,17%,24%,35%,16%,35%,22%,28%,30%,30%,46%,71%,33%,52%,63%,-2%,70%,56%,26%,-2%,70%,56%,26%,41%,44%,69%,46%,58%,19%,"46%"
파라다이스,호텔-레저 ,18,49,35%,"파라다이스, Paradise, 파라다이스 호텔, 파라다이스",53%,50%,17%,31%,59%,78%,70%,63%,56%,84%,53%,57%,69%,92%,84%,5%,9%,28%,32%,5%,9%,28%,32%,28%,14%,106%,22%,14%,42%,"27%"
펑타이그레이터차이나,광고·마케팅 ,20,49,36%,펑타이,25%,31%,85%,54%,37%,44%,54%,54%,36%,31%,53%,36%,74%,30%,54%,-12%,8%,-10%,-19%,-12%,8%,-10%,-19%,-4%,12%,-17%,9%,-7%,-5%,"-8%"
하이엠솔루텍,전자-기계,31,49,34%,하이엠솔루텍,19%,22%,26%,31%,52%,26%,19%,46%,32%,23%,53%,59%,18%,40%,46%,-3%,0%,9%,12%,-3%,0%,9%,12%,557%,29%,-11%,-15%,-2%,48%,"20%"
한국도로교통공단,공공기관 ,29,49,35%,#N/A,22%,25%,44%,44%,31%,57%,20%,23%,32%,18%,8%,16%,42%,17%,18%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한화투자증권,증권 ,19,49,35%,#N/A,27%,58%,46%,71%,29%,24%,78%,13%,47%,60%,26%,43%,79%,32%,72%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국유미코아배터리머티리얼즈유한책임회사,자동차 ,17,49,35%,#N/A,59%,70%,50%,39%,13%,84%,98%,72%,71%,84%,37%,50%,61%,52%,67%,16%,52%,41%,29%,16%,52%,41%,29%,181%,76%,-10%,-12%,110%,28%,"14%"
한국자산평가,금융 ,10,49,36%,#N/A,31%,56%,63%,90%,73%,77%,19%,28%,16%,90%,39%,5%,85%,2%,2%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
이카운트,IT서비스 ,10,49,36%,#N/A,11%,27%,18%,98%,89%,52%,28%,2%,2%,3%,82%,50%,11%,15%,53%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
HD현대오일뱅크,에너지-화학,32,48,37%,"Hyundai Oilbank, 현대 오일뱅크, 현대오일뱅크, 현대 오일 뱅크, 현오뱅",46%,50%,42%,21%,57%,35%,47%,54%,18%,36%,28%,27%,7%,30%,46%,-9%,-3%,-14%,0%,-9%,-3%,-14%,0%,1%,-14%,13%,14%,-12%,13%,"8%"
KG모빌리티,자동차 ,11,48,38%,"KG모빌리티, 케이지모빌리티, 쌍용자동차, KG, 케이지, KG Mobility",14%,32%,39%,38%,15%,40%,81%,81%,94%,22%,24%,78%,75%,84%,63%,-5%,46%,16%,-6%,-5%,46%,16%,-6%,-6%,39%,84%,22%,5%,-27%,"-2%"
KT DS,IT서비스 ,16,48,36%,"KT DS, 케이티디에스",17%,36%,34%,26%,53%,52%,35%,63%,47%,8%,26%,62%,76%,32%,52%,12%,105%,142%,62%,12%,105%,142%,62%,-17%,-21%,37%,4%,-6%,3%,"42%"
SK매직,전자-기계,13,48,38%,"SK매직, SK Magic, 에스케이매직, 에스케이magic, SK, 에스케이",28%,18%,31%,29%,6%,5%,41%,54%,42%,28%,39%,15%,21%,35%,22%,22%,115%,120%,171%,22%,115%,120%,171%,267%,47%,103%,76%,45%,57%,"100%"
SK바이오사이언스,제약-바이오 ,11,48,37%,"SK바이오사이언스, 에스케이바이오사이언스, 바이오사이언스, SK바사, SK, 에스케이",41%,86%,30%,44%,23%,45%,90%,77%,91%,11%,23%,64%,59%,36%,13%,-4%,32%,-10%,-2%,-4%,32%,-10%,-2%,67%,8%,32%,-9%,6%,-11%,"20%"
국도화학,에너지-화학,13,48,37%,"국도화학, Kukdo Chemical",41%,50%,32%,3%,21%,7%,75%,39%,44%,8%,8%,6%,60%,40%,8%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
근로복지공단,정부·공공기관 ,57,48,39%,근로복지공단,73%,37%,13%,65%,51%,51%,28%,63%,35%,25%,29%,30%,98%,32%,22%,1%,63%,29%,41%,1%,63%,29%,41%,4%,24%,38%,19%,6%,25%,"13%"
NEOPLE,IT ,18,48,36%,"네오플, NEOPLE",43%,70%,34%,21%,19%,52%,71%,13%,8%,26%,38%,36%,15%,33%,16%,-22%,-12%,-22%,-17%,-22%,-12%,-22%,-17%,3%,13%,-10%,-13%,0%,17%,"20%"
버킷플레이스,IT ,13,48,36%,"버킷플레이스, 오늘의집, 오집, Bucketplace",33%,23%,82%,86%,21%,21%,69%,32%,16%,23%,45%,32%,31%,2%,7%,-16%,-2%,6%,-19%,-16%,-2%,6%,-19%,-40%,0%,4%,1%,0%,3%,"1%"
삼성바이오로직스,제약-바이오 ,62,48,36%,"삼성 바이오로직스, 삼성바이오로직스, 삼성 바이오, SAMSUNG BIOLOGICS, 삼성바이오",69%,65%,26%,64%,95%,78%,84%,57%,45%,82%,84%,65%,61%,84%,84%,-7%,1%,-9%,16%,-7%,1%,-9%,16%,-3%,5%,10%,12%,1%,31%,"16%"
SK이노베이션,에너지-화학 ,84,48,38%,"에스케이이노베이션, SK 이노베이션, SK이노베이션, SK innovation, 이노베이션",66%,61%,60%,44%,44%,66%,66%,54%,56%,58%,43%,51%,37%,55%,54%,-5%,13%,10%,-11%,-5%,13%,10%,-11%,12%,13%,-5%,-6%,4%,1%,"-2%"
에이에스엠케이,반도체 ,13,48,37%,"에이에스엠케이, ASM, ASM코리아, ASM Korea, 한국ASM, ASM Korea",44%,50%,56%,63%,36%,66%,82%,74%,85%,74%,45%,66%,13%,73%,76%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
펄어비스,게임 ,13,48,38%,"펄어비스, Pearl Abyss",10%,11%,17%,44%,94%,37%,51%,79%,82%,99%,98%,73%,5%,37%,51%,-11%,30%,18%,16%,-11%,30%,18%,16%,30%,-15%,6%,4%,-33%,-29%,"-44%"
한국교통안전공단,공공기관 ,15,48,36%,"한국교통안전공단, 교통공단, 교통안전공단, TS교통안전공단, TS교통공단",25%,20%,27%,45%,62%,18%,25%,28%,32%,17%,26%,50%,40%,43%,36%,8%,67%,60%,62%,8%,67%,60%,62%,51%,-5%,81%,45%,82%,81%,"59%"
한국타이어앤테크놀로지,자동차 ,31,48,38%,"한타, HANKOOK TIRE, 한국타이어, 한국 타이어, 한국타이어앤테크놀로지",42%,50%,41%,41%,52%,26%,33%,40%,60%,51%,53%,26%,53%,69%,54%,8%,29%,39%,23%,8%,29%,39%,23%,55%,4%,28%,30%,26%,0%,"-14%"
해양경찰청,정부·공공기관,45,48,38%,해양경찰청,69%,36%,8%,35%,68%,54%,82%,57%,65%,70%,64%,76%,48%,65%,59%,2%,69%,84%,12%,2%,69%,84%,12%,0%,-1%,51%,-13%,-8%,11%,"19%"
HD현대중공업,방산 ,73,48,37%,"현대 중공업, 현중, 현대중공업, 현대중",43%,33%,34%,42%,63%,48%,47%,29%,42%,37%,55%,43%,18%,33%,48%,3%,28%,17%,-10%,3%,28%,17%,-10%,15%,2%,1%,20%,43%,11%,"21%"
현대아이티씨,건설-중공업,11,48,38%,"현대아이티씨, 현대ITC, 현대제철, Hyundai Steel",26%,32%,34%,7%,9%,45%,51%,6%,30%,4%,4%,3%,5%,17%,4%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
현대하이라이프손해사정,금융 ,13,48,36%,"현대하이라이프손해사정, 현대하이라이프",28%,18%,14%,57%,67%,24%,12%,2%,20%,3%,34%,66%,19%,42%,13%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국석유관리원,공공기관 ,11,48,37%,#N/A,45%,55%,42%,44%,85%,66%,51%,36%,43%,64%,53%,93%,87%,59%,26%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한일시멘트,건자재 ,18,48,37%,#N/A,70%,75%,66%,77%,61%,66%,38%,30%,36%,36%,61%,52%,85%,56%,70%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
세미파이브,반도체 ,10,48,37%,#N/A,31%,25%,56%,56%,69%,8%,19%,73%,88%,68%,41%,15%,57%,20%,11%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한전에프엠에스,공기업 ,10,48,37%,#N/A,3%,7%,61%,4%,1%,54%,41%,9%,12%,62%,1%,38%,12%,46%,33%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
지티엑스에이운영,철도 ,15,48,38%,#N/A,43%,42%,98%,34%,36%,21%,57%,23%,61%,48%,26%,26%,40%,71%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
HD현대로보틱스,전자-기계,11,48,38%,#N/A,74%,69%,20%,23%,88%,80%,35%,45%,75%,57%,70%,40%,50%,82%,84%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
COUPANG,커머스 ,133,47,40%,"COUPANG, 쿠팡",37%,42%,47%,54%,66%,54%,60%,47%,40%,46%,54%,42%,39%,40%,72%,-6%,33%,36%,8%,-6%,33%,36%,8%,31%,10%,22%,3%,21%,17%,"18%"
국립생태원,정부·공공기관 ,10,47,40%,"국립생태원, 생태원",4%,4%,91%,58%,5%,5%,2%,13%,18%,2%,6%,1%,20%,13%,2%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
LIG넥스원,전자-기계 ,99,47,40%,"넥스원, LIG, LIG Nex1, LIG 넥스원, 엘아이지넥스원, LIG넥스원",37%,50%,57%,46%,53%,49%,63%,37%,43%,60%,70%,40%,68%,46%,50%,-17%,17%,-4%,-5%,-17%,17%,-4%,-5%,-24%,-7%,9%,15%,3%,0%,"13%"
대덕전자,반도체 ,12,47,39%,"대덕전자, 대덕",77%,67%,23%,8%,85%,55%,86%,45%,75%,82%,95%,62%,57%,91%,72%,1%,14%,-2%,105%,1%,14%,-2%,105%,54%,-40%,19%,-17%,34%,-1%,"-21%"
대한항공,물류 ,49,47,41%,"대한항공, KOREAN AIR, 댄공, KAL",53%,50%,9%,39%,94%,37%,70%,64%,52%,85%,66%,92%,88%,83%,83%,-13%,4%,2%,-3%,-13%,4%,2%,-3%,41%,5%,27%,9%,3%,25%,"-5%"
삼성전자판매,커머스 ,60,47,41%,"디지털프라자, 삼성디지털프라자, 삼판, 삼성전자판매",48%,50%,8%,27%,74%,59%,78%,68%,56%,47%,67%,71%,18%,71%,63%,1%,68%,41%,29%,1%,68%,41%,29%,42%,27%,20%,21%,32%,2%,"21%"
롯데건설,건설-중공업,38,47,40%,"롯데건설, LOTTE E&C",50%,29%,46%,32%,66%,33%,29%,41%,42%,74%,84%,76%,36%,45%,36%,-2%,37%,50%,26%,-2%,37%,50%,26%,21%,20%,15%,-3%,20%,8%,"5%"
우아한형제들,IT ,29,47,40%,"배달의민족, 배민, 우아한형제들",80%,79%,82%,46%,55%,80%,91%,33%,52%,62%,45%,18%,11%,24%,53%,-16%,1%,-7%,-31%,-16%,1%,-7%,-31%,11%,0%,4%,-15%,30%,6%,"8%"
삼일회계법인,회계-컨설팅 ,48,47,40%,"삼일회계, 삼일회계법인, 삼일",77%,77%,45%,77%,98%,48%,77%,64%,31%,83%,98%,66%,49%,64%,80%,-21%,-23%,-27%,-17%,-21%,-23%,-27%,-17%,-39%,-34%,5%,3%,-27%,-7%,"-22%"
신세계인터내셔날,패션 ,11,47,40%,"신세계 인터내셔날, SHINSEGAE INTERNATIONAL, 신세계인터내셔날, 신세계 인터",32%,73%,48%,51%,31%,37%,19%,77%,56%,86%,53%,39%,59%,75%,58%,7%,138%,32%,59%,7%,138%,32%,59%,19%,18%,36%,34%,43%,39%,"12%"
HK이노엔,제약-바이오,18,47,39%,"씨제이헬스케어, CJ헬스케어, 에이치케이이노엔, CJ Health Care, HK이노엔, CJ 헬스케어",41%,34%,56%,38%,44%,53%,21%,36%,57%,87%,67%,57%,31%,30%,47%,1%,11%,-14%,56%,1%,11%,-14%,56%,75%,-11%,-2%,10%,26%,-27%,"-44%"
한국국토정보공사,공공기관 ,34,47,39%,한국국토정보공사,52%,44%,24%,47%,56%,67%,66%,56%,56%,46%,53%,59%,33%,55%,50%,1%,144%,122%,31%,1%,144%,122%,31%,-23%,-10%,57%,51%,83%,72%,"143%"
한국농어촌공사,공공기관 ,50,47,41%,"한국농어촌공사, 농어촌공사",36%,31%,11%,48%,27%,60%,12%,30%,37%,55%,44%,42%,32%,56%,45%,-1%,58%,27%,108%,-1%,58%,27%,108%,-7%,14%,10%,11%,14%,20%,"12%"
한국콜마,리빙-뷰티 ,19,47,41%,"한국콜마, 콜마, Kolmar, 콜마코리아, Kolmar Korea, 콜마 한국",41%,43%,23%,52%,51%,48%,75%,36%,61%,26%,53%,80%,65%,64%,61%,-10%,14%,12%,17%,-10%,14%,12%,17%,-23%,-4%,3%,-1%,20%,-11%,"-1%"
현대케피코,자동차,23,47,40%,"현대케피코, 현대kefico, Hyundai Kefico, Hyundai케피코, Hyundai Kefico, 현대자동차, 현대차, Hyundai",73%,56%,30%,41%,57%,38%,56%,23%,43%,44%,37%,17%,20%,31%,25%,-2%,-9%,21%,33%,-2%,-9%,21%,33%,0%,-20%,19%,0%,47%,45%,"9%"
대한산업보건협회,공공기관,17,47,39%,#N/A,41%,50%,73%,84%,68%,26%,35%,63%,67%,84%,76%,57%,36%,75%,57%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
이수화학,에너지-화학 ,12,47,39%,#N/A,11%,41%,94%,77%,56%,55%,35%,45%,47%,85%,72%,79%,31%,36%,50%,-12%,30%,-3%,-40%,-12%,30%,-3%,-40%,-50%,-31%,-24%,11%,-20%,-5%,"-25%"
동서식품,식음료,16,47,39%,#N/A,55%,59%,15%,17%,35%,86%,43%,53%,58%,57%,26%,69%,31%,91%,72%,21%,202%,322%,74%,21%,202%,322%,74%,477%,59%,160%,55%,63%,15%,"219%"
연세대학교의료원,병원 ,28,47,39%,#N/A,63%,65%,38%,80%,94%,57%,90%,84%,76%,65%,74%,89%,52%,75%,50%,-6%,19%,1%,11%,-6%,19%,1%,11%,-18%,-24%,-10%,-23%,-19%,-18%,"-9%"
SK키파운드리,반도체,14,47,39%,#N/A,67%,35%,23%,81%,57%,29%,37%,69%,75%,91%,65%,64%,59%,52%,34%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
HD현대마린솔루션,조선,11,47,40%,#N/A,68%,81%,34%,82%,91%,66%,69%,69%,91%,64%,89%,88%,49%,30%,25%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
티씨케이,반도체 ,11,47,41%,#N/A,41%,50%,60%,23%,25%,38%,56%,63%,23%,57%,45%,33%,6%,43%,11%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
금화PSC,건설-중공업,12,47,41%,#N/A,60%,69%,89%,69%,70%,80%,46%,69%,66%,91%,53%,79%,65%,85%,61%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
KCTC,물류 ,10,47,41%,#N/A,57%,37%,71%,6%,37%,52%,81%,25%,21%,40%,18%,37%,37%,10%,14%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
제주항공,항공 ,20,46,42%,"JEJU AIR, 제주항공",11%,50%,34%,21%,67%,3%,6%,55%,34%,46%,28%,50%,60%,53%,63%,-9%,89%,-4%,11%,-9%,89%,-4%,11%,2%,12%,39%,20%,-15%,-17%,"0%"
NHN,IT ,17,46,42%,"NHN엔터테인먼트, NHN Entertainment, 엔에이치엔엔터, NHN, 엔에이치엔, NHN엔터",54%,53%,93%,80%,3%,44%,8%,4%,23%,57%,9%,15%,78%,14%,36%,-19%,-9%,-11%,-40%,-19%,-9%,-11%,-40%,-45%,-6%,-19%,6%,14%,14%,"-13%"
SBI저축은행,금융 ,13,46,43%,"SBI저축은행, 에스비아이저축은행, 에스비아이저축, SBI저축, SBI",8%,7%,91%,20%,17%,5%,19%,9%,4%,4%,2%,5%,85%,22%,25%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
SK브로드밴드,통신 ,17,46,44%,"SK브로드밴드, 브로드밴드, SK broadband, 에스케이, SK",1%,1%,0%,1%,1%,5%,10%,4%,41%,8%,3%,3%,3%,4%,9%,-31%,39%,26%,16%,-31%,39%,26%,16%,44%,27%,29%,19%,18%,26%,"32%"
티웨이항공,항공 ,33,46,44%,"TWAY, tway air, 티웨이항공, 티웨이 항공, 티웨이",41%,44%,45%,28%,81%,21%,71%,70%,84%,84%,55%,96%,85%,91%,78%,-20%,-6%,16%,-9%,-20%,-6%,16%,-9%,51%,-38%,8%,-5%,-13%,-23%,"-23%"
고려아연,철강 ,36,46,44%,고려아연,70%,34%,29%,43%,52%,32%,45%,33%,53%,28%,60%,84%,23%,71%,61%,-9%,6%,29%,11%,-9%,6%,29%,11%,14%,-6%,25%,50%,51%,1%,"40%"
넷마블,게임 ,23,46,43%,"넷마블, netmarble, 넷마블게임즈",59%,62%,56%,54%,81%,68%,43%,48%,35%,55%,43%,8%,69%,32%,52%,-8%,6%,-6%,28%,-8%,6%,-6%,28%,-19%,-19%,-3%,15%,8%,39%,"50%"
미라콤아이앤씨,IT서비스 ,21,46,42%,"미라콤아이앤씨, Miracom Inc, 미라콤Inc, Miracom아이앤씨, 미라콤",46%,62%,40%,35%,21%,76%,95%,73%,40%,64%,16%,56%,52%,52%,67%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
삼성중공업,건설-중공업 ,68,46,44%,"삼성 중공업, 삼성중공업",34%,44%,59%,24%,29%,43%,62%,26%,34%,37%,29%,22%,63%,25%,51%,11%,57%,74%,-6%,11%,57%,74%,-6%,1%,30%,19%,-3%,59%,46%,"57%"
삼성메디슨,전자-기계 ,25,46,44%,"삼성메디슨, 삼성medison, Samsung medison, 삼성, Samsung",41%,36%,29%,40%,71%,50%,35%,38%,28%,30%,87%,50%,16%,46%,17%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
삼성웰스토리,식음료 ,23,46,42%,"삼성웰스토리, 웰스토리, Samsung Welstory, 삼성Welstory, 삼성, Samsung",36%,25%,71%,78%,33%,43%,47%,63%,77%,55%,54%,9%,31%,22%,52%,5%,46%,39%,54%,5%,46%,39%,54%,-31%,24%,64%,34%,32%,17%,"42%"
씨에스케이,전자-기계 ,14,46,42%,"씨에스케이, CSK",51%,68%,74%,19%,13%,56%,61%,68%,82%,74%,70%,56%,57%,79%,93%,10%,72%,71%,-7%,10%,72%,71%,-7%,6%,92%,109%,-15%,-5%,100%,"5%"
오비맥주,식음료 ,24,46,42%,"오비맥주, OB맥주",29%,44%,42%,59%,65%,68%,81%,87%,69%,96%,44%,83%,73%,65%,80%,13%,83%,65%,83%,13%,83%,65%,83%,68%,36%,186%,10%,2%,13%,"-30%"
CJ올리브영,커머스 ,39,46,42%,"올리브영, 씨제이올리브영, CJ올리브영",42%,29%,31%,41%,81%,41%,67%,38%,64%,62%,85%,67%,40%,33%,45%,8%,65%,31%,42%,8%,65%,31%,42%,78%,15%,66%,23%,69%,69%,"21%"
자화전자,자동차 ,10,46,43%,"자화전자, 자화, Jawha",8%,4%,60%,87%,51%,18%,12%,5%,3%,18%,43%,8%,1%,7%,2%,7%,55%,69%,19%,7%,55%,69%,19%,-49%,6%,38%,-1%,45%,60%,"24%"
GS건설,건설-중공업,35,46,43%,"지에스건설, GS E&C, GS 건설, GS건설, 지에스 건설",51%,37%,40%,70%,59%,19%,19%,25%,48%,56%,67%,50%,53%,25%,45%,-10%,11%,2%,10%,-10%,11%,2%,10%,-40%,-5%,15%,12%,5%,22%,"5%"
카카오엔터프라이즈,IT ,12,46,42%,"카카오엔터프라이즈, Kakao Enterprise, Kakao엔터프라이즈, 카카오enterprise, Kakao, 카카오",45%,50%,66%,44%,19%,2%,0%,28%,23%,2%,7%,5%,18%,11%,5%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
카페24,IT ,13,46,43%,"카페24, cafe24",52%,41%,20%,69%,25%,45%,19%,2%,4%,8%,22%,73%,88%,64%,33%,-4%,21%,74%,23%,-4%,21%,74%,23%,38%,8%,98%,19%,56%,130%,"70%"
케이뱅크,IT ,10,46,43%,"케이뱅크, K bank, K뱅크",31%,74%,46%,65%,10%,5%,2%,39%,72%,8%,42%,67%,31%,48%,53%,9%,69%,16%,24%,9%,69%,16%,24%,65%,40%,108%,65%,73%,28%,"127%"
티에이치엔,자동차 ,11,46,41%,"티에이치엔, THN",21%,34%,43%,8%,56%,66%,25%,51%,82%,50%,22%,15%,20%,37%,17%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국건설생활환경시험연구원,건설-중공업 ,10,46,43%,"한국건설생활환경시험연구원, KCL, 건설생활시험연구원, 건설생활환경시험연구원, 건설환경시험연구원",64%,50%,66%,52%,51%,38%,25%,38%,18%,44%,57%,50%,41%,52%,51%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국특허기술진흥원,공공기관 ,10,46,44%,"한국특허기술진흥원, 특허기술진흥원, 특허진흥원",48%,58%,32%,28%,85%,74%,84%,51%,74%,30%,42%,50%,85%,71%,45%,4%,36%,-13%,38%,4%,36%,-13%,38%,126%,-34%,46%,-12%,-7%,-7%,"-13%"
한양대학교의료원,병원 ,13,46,43%,"한양대학교의료원, 한양대의료원, 한양대, 한양대학교",59%,53%,17%,38%,86%,56%,91%,32%,23%,65%,9%,69%,50%,57%,36%,-17%,-24%,-11%,6%,-17%,-24%,-11%,6%,25%,-34%,38%,-22%,18%,16%,"-5%"
HJ중공업,방산 ,19,46,43%,한진중공업,19%,29%,24%,22%,6%,7%,6%,45%,20%,41%,39%,15%,46%,47%,4%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
현대차증권,금융 ,12,46,41%,"현대차증권, 현대차, 현대자동차, Hyundai",53%,53%,29%,26%,42%,71%,43%,86%,82%,82%,56%,62%,57%,71%,94%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
헥토이노베이션,IT서비스,11,46,42%,#N/A,61%,41%,27%,33%,80%,56%,37%,24%,50%,82%,58%,88%,35%,22%,70%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
미원상사,에너지-화학 ,11,46,44%,#N/A,32%,56%,22%,88%,85%,53%,95%,90%,50%,87%,85%,88%,57%,37%,61%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
현대제철,철강 ,60,45,44%,"HYUNDAI STEEL, 현대제철, 현대 제철",41%,33%,44%,42%,37%,43%,42%,23%,40%,30%,47%,33%,21%,26%,23%,-9%,30%,45%,-24%,-9%,30%,45%,-24%,-5%,5%,15%,16%,30%,18%,"13%"
삼성SDI,자동차 ,90,45,46%,"SDI, SAMSUNG SDI, 삼성SDI",74%,56%,56%,53%,61%,59%,68%,46%,41%,47%,70%,52%,59%,41%,51%,-22%,-20%,-17%,-11%,-22%,-20%,-17%,-11%,-24%,-12%,-3%,-10%,-8%,-4%,"-7%"
교촌에프앤비,식음료 ,10,45,45%,"교촌에프앤비, 교촌치킨",31%,55%,56%,77%,39%,34%,41%,39%,34%,34%,42%,11%,24%,77%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
대구교통공사,철도 ,32,45,45%,"대구도시철도공사, DTRO",25%,59%,45%,7%,10%,47%,86%,37%,34%,41%,6%,42%,89%,75%,45%,-18%,14%,1%,-13%,-18%,14%,1%,-13%,13%,31%,-2%,-16%,-2%,2%,"23%"
DB하이텍,반도체 ,21,45,46%,"동부하이텍, DB하이텍, DB 하이텍",41%,58%,32%,56%,91%,37%,62%,71%,61%,46%,77%,59%,20%,21%,48%,0%,39%,34%,35%,0%,39%,34%,35%,56%,-34%,34%,15%,-7%,7%,"29%"
롯데정밀화학,에너지-화학,12,45,46%,"롯데정밀화학, Lotte Fine Chemical, 롯데정밀, 롯데, Lotte",45%,64%,61%,26%,1%,17%,19%,15%,8%,20%,0%,5%,63%,37%,33%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
서민금융진흥원,금융 ,13,45,46%,"서민금융진흥원, 서금원, 서민금융, Kinfa",19%,27%,60%,14%,51%,9%,8%,18%,11%,11%,38%,50%,46%,9%,13%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
에스엘,자동차 ,49,45,46%,"에스엘, SL",63%,74%,47%,69%,58%,25%,25%,66%,57%,64%,85%,92%,70%,71%,65%,10%,71%,75%,17%,10%,71%,75%,17%,-6%,15%,24%,-3%,61%,9%,"17%"
SK텔레콤,통신 ,87,45,45%,"에스케이티, SKT, 에스케이텔레콤, 스크트, SK텔레콤, SK 텔레콤, 에스케이 텔레콤",81%,85%,52%,72%,34%,85%,92%,76%,60%,52%,35%,57%,21%,45%,68%,-35%,-43%,-52%,-33%,-35%,-43%,-52%,-33%,-51%,-26%,-44%,-31%,-38%,-26%,"-22%"
일동제약,제약-바이오 ,25,45,45%,"일동제약, Ildong제약, Ildong, 일동",60%,43%,64%,72%,39%,31%,63%,26%,25%,30%,67%,73%,14%,37%,51%,16%,91%,106%,63%,16%,91%,106%,63%,104%,13%,28%,11%,88%,77%,"73%"
정상제이엘에스,교육-출판 ,11,45,45%,"정상제이엘에스, 정상JLS, JLS, 정상어학원, JLS정상어학원",79%,35%,11%,38%,85%,77%,51%,90%,56%,40%,30%,71%,89%,83%,20%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한국토지주택공사,건설-중공업 ,46,45,45%,"주공, 엘에이치, 토지주택공사, LH, 한국토지주택공사 , 한토주공",59%,19%,33%,38%,61%,47%,46%,23%,37%,17%,47%,22%,58%,21%,25%,-2%,65%,36%,34%,-2%,65%,36%,34%,29%,0%,19%,16%,16%,5%,"8%"
GS칼텍스,에너지-화학,15,45,45%,"지에스칼텍스, GS칼텍스, 지칼, GS Caltex, GS 칼텍스",79%,83%,82%,86%,42%,98%,95%,63%,47%,85%,32%,76%,66%,24%,67%,-31%,-47%,-45%,-42%,-31%,-47%,-45%,-42%,-61%,5%,-58%,-40%,-33%,-20%,"-25%"
코닝정밀소재,전자-기계 ,24,45,45%,코닝정밀소재,49%,31%,73%,41%,31%,29%,8%,44%,18%,35%,53%,27%,31%,25%,58%,-15%,12%,39%,-30%,-15%,12%,39%,-30%,44%,11%,49%,61%,11%,10%,"14%"
한림제약,제약-바이오 ,18,45,44%,"한림제약, Hanlim제약, 한림, Hanlim",30%,28%,32%,42%,35%,43%,46%,2%,11%,11%,72%,50%,6%,52%,34%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
에이치알에스코리아,전자-기계 ,15,45,45%,#N/A,50%,43%,46%,41%,70%,76%,51%,67%,69%,89%,84%,76%,1%,76%,65%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
용마로지스,물류 ,16,45,46%,#N/A,29%,26%,56%,45%,54%,31%,43%,14%,10%,35%,70%,69%,44%,71%,28%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
해태제과,식음료,12,45,46%,#N/A,6%,8%,43%,17%,1%,11%,19%,4%,8%,17%,7%,15%,62%,19%,3%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
